Model,MDO34
Firmware Version,1.10.4

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,1e-08,,
Horizontal Delay,1.212e-07,,
Sample Interval,4e-10,,
Record Length,1000,,
Gating,0.1% to 100.0%,,
Probe Attenuation,1,1,1
Vertical Units,V,V,V
Vertical Offset,0,0,0
Vertical Scale,0.5,0.2,0.2
Vertical Position,3.18,1.02,-2.22
,,,
,,,
,,,
Label,,,
TIME,CH1,CH2,CH3
6.400e-08,-0.810078,0.00396875,-0.00403125
6.440e-08,-0.810078,-0.00403125,-0.00403125
6.480e-08,-0.81,0.004,-0.012
6.520e-08,-0.810078,-0.00403125,-0.0120312
6.560e-08,-0.81,-0.012,0.012
6.600e-08,-0.810078,-0.0200313,0.0199688
6.640e-08,-0.810078,-0.0120313,0.0119688
6.680e-08,-0.81,0.012,0.004
6.720e-08,-0.83,0.004,0.004
6.760e-08,-0.81,-0.004,0.012
6.800e-08,-0.81,-0.012,0.012
6.840e-08,-0.81,0.004,0.004
6.880e-08,-0.810078,0.00396875,-0.00403125
6.920e-08,-0.810078,-0.0120313,0.00396875
6.960e-08,-0.810078,-0.0200313,0.0199688
7.000e-08,-0.79,-0.012,0.004
7.040e-08,-0.810078,-0.00403125,-0.0120312
7.080e-08,-0.81,-0.004,-0.012
7.120e-08,-0.81,-0.012,-0.004
7.160e-08,-0.830078,-0.0200313,0.00396875
7.200e-08,-0.810078,-0.0120313,0.0119688
7.240e-08,-0.790078,-0.00403125,0.0119688
7.280e-08,-0.810078,-0.00403125,0.0119688
7.320e-08,-0.830078,0.00396875,0.0199688
7.360e-08,-0.81,0.004,0.02
7.400e-08,-0.810078,0.00396875,0.0119688
7.440e-08,-0.810078,0.0119688,-0.00403125
7.480e-08,-0.81,-0.004,-0.004
7.520e-08,-0.790078,-0.0120313,0.00396875
7.560e-08,-0.83,-0.004,-0.004
7.600e-08,-0.810078,-0.00403125,-0.00403125
7.640e-08,-0.810078,-0.00403125,-0.00403125
7.680e-08,-0.810078,-0.0120313,0.00396875
7.720e-08,-0.810078,-0.0120313,0.0119688
7.760e-08,-0.810078,-0.00403125,0.0119688
7.800e-08,-0.810078,-0.00403125,0.0199688
7.840e-08,-0.810078,-0.0120313,0.0119688
7.880e-08,-0.81,-0.012,0.028
7.920e-08,-0.81,-0.012,0.004
7.960e-08,-0.81,-0.004,0.004
8.000e-08,-0.810078,-0.0200313,0.00396875
8.040e-08,-0.81,-0.02,0.012
8.080e-08,-0.810078,-0.0120313,0.0119688
8.120e-08,-0.83,-0.004,0.012
8.160e-08,-0.83,-0.004,-0.004
8.200e-08,-0.810078,-0.0120313,0.0119688
8.240e-08,-0.810078,-0.00403125,0.0199688
8.280e-08,-0.83,0.012,0.012
8.320e-08,-0.810078,0.0279687,-0.00403125
8.360e-08,-0.810078,0.0199687,-0.0120312
8.400e-08,-0.810078,0.00396875,-0.00403125
8.440e-08,-0.810078,-0.00403125,-0.00403125
8.480e-08,-0.81,0.004,-0.004
8.520e-08,-0.81,0.004,0.004
8.560e-08,-0.810078,0.0199687,0.0199688
8.600e-08,-0.810078,0.0119688,0.0199688
8.640e-08,-0.830078,0.0119688,0.0119688
8.680e-08,-0.81,0.004,0.012
8.720e-08,-0.830078,-0.00403125,0.00396875
8.760e-08,-0.810078,-0.00403125,0.0119688
8.800e-08,-0.810078,-0.0120313,0.0199688
8.840e-08,-0.810078,-0.00403125,0.0119688
8.880e-08,-0.81,-0.004,0.012
8.920e-08,-0.81,-0.004,0.02
8.960e-08,-0.83,-0.004,0.02
9.000e-08,-0.81,0.012,0.012
9.040e-08,-0.83,0.012,0.012
9.080e-08,-0.810078,0.00396875,0.00396875
9.120e-08,-0.83,0.004,0.004
9.160e-08,-0.810078,0.00396875,0.00396875
9.200e-08,-0.810078,-0.00403125,0.00396875
9.240e-08,-0.810078,-0.00403125,0.00396875
9.280e-08,-0.81,-0.004,0.02
9.320e-08,-0.810078,-0.00403125,0.0119688
9.360e-08,-0.81,-0.012,0.012
9.400e-08,-0.81,-0.004,-0.004
9.440e-08,-0.81,-0.004,-0.012
9.480e-08,-0.810078,-0.0120313,0.0119688
9.520e-08,-0.810078,-0.00403125,0.0119688
9.560e-08,-0.810078,-0.00403125,0.0119688
9.600e-08,-0.810078,0.00396875,0.00396875
9.640e-08,-0.81,0.004,0.004
9.680e-08,-0.810078,0.00396875,0.00396875
9.720e-08,-0.810078,0.00396875,0.00396875
9.760e-08,-0.810078,-0.00403125,0.00396875
9.800e-08,-0.830078,-0.00403125,0.00396875
9.840e-08,-0.83,0.004,0.012
9.880e-08,-0.810078,0.00396875,0.0199688
9.920e-08,-0.810078,0.00396875,0.0119688
9.960e-08,-0.810078,0.0119688,0.0119688
1.000e-07,-0.810078,0.00396875,0.0119688
1.004e-07,-0.83,-0.004,0.02
1.008e-07,-0.81,-0.004,0.012
1.012e-07,-0.810078,-0.00403125,0.0119688
1.016e-07,-0.810078,-0.00403125,0.00396875
1.020e-07,-0.810078,0.00396875,-0.00403125
1.024e-07,-0.810078,0.0119688,0.0119688
1.028e-07,-0.830078,0.00396875,0.0119688
1.032e-07,-0.81,0.004,0.012
1.036e-07,-0.83,0.004,0.004
1.040e-07,-0.81,-0.004,0.004
1.044e-07,-0.81,-0.004,0.004
1.048e-07,-0.810078,0.00396875,0.0119688
1.052e-07,-0.830078,0.00396875,0.0119688
1.056e-07,-0.81,0.004,0.012
1.060e-07,-0.810078,0.0119688,0.00396875
1.064e-07,-0.790078,0.0119688,0.00396875
1.068e-07,-0.81,0.02,0.004
1.072e-07,-0.81,0.012,0.004
1.076e-07,-0.810078,0.00396875,0.0119688
1.080e-07,-0.81,0.004,0.012
1.084e-07,-0.810078,0.00396875,0.00396875
1.088e-07,-0.810078,0.00396875,0.00396875
1.092e-07,-0.810078,-0.00403125,0.0119688
1.096e-07,-0.810078,-0.00403125,0.0199688
1.100e-07,-0.810078,-0.00403125,0.0279688
1.104e-07,-0.81,0.004,0.012
1.108e-07,-0.830078,0.0119688,0.00396875
1.112e-07,-0.830078,0.00396875,0.00396875
1.116e-07,-0.81,0.004,-0.004
1.120e-07,-0.810078,0.0119688,0.00396875
1.124e-07,-0.81,0.004,0.004
1.128e-07,-0.810078,-0.00403125,0.00396875
1.132e-07,-0.810078,-0.00403125,0.00396875
1.136e-07,-0.81,-0.004,0.004
1.140e-07,-0.830078,-0.00403125,-0.00403125
1.144e-07,-0.810078,-0.00403125,0.00396875
1.148e-07,-0.83,-0.004,-0.004
1.152e-07,-0.83,-0.004,0.004
1.156e-07,-0.810078,-0.0120313,0.0199688
1.160e-07,-0.81,-0.004,0.028
1.164e-07,-0.81,-0.004,0.028
1.168e-07,-0.810078,-0.00403125,0.0119688
1.172e-07,-0.790078,0.0119688,0.00396875
1.176e-07,-0.830078,0.0119688,0.00396875
1.180e-07,-0.830078,-0.00403125,0.00396875
1.184e-07,-0.810078,-0.0120313,0.00396875
1.188e-07,-0.81,-0.02,0.012
1.192e-07,-0.830078,-0.00403125,0.0119688
1.196e-07,-0.81,0.004,0.004
1.200e-07,-0.810078,0.0119688,0.00396875
1.204e-07,-0.81,0.012,0.004
1.208e-07,-0.83,0.004,0.012
1.212e-07,-0.810078,0.00396875,0.0199688
1.216e-07,-0.81,0.004,0.012
1.220e-07,-0.81,-0.004,0.004
1.224e-07,-0.810078,-0.00403125,0.00396875
1.228e-07,-0.81,-0.012,0.012
1.232e-07,-0.81,-0.004,0.012
